volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
26,26o.jpg,recto,1,recto,,images/pages-recto/26o.png,images/archive-original/1260-1269/26o.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Michielskerk,,126x,04,xx,,0,0
27,27m.jpg,verso,0,verso,,images/pages-verso/27m.png,images/archive-original/1260-1269/27m.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Onze-Lieve-Vrouwkerk Gent,,126x,04,xx,,0,0
27,27o.jpg,recto,1,recto,,images/pages-recto/27o.png,images/archive-original/1260-1269/27o.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Onze-Lieve-Vrouwkerk Gent,,126x,04,xx,,0,0
28,28m.jpg,verso,0,verso,,images/pages-verso/28m.png,images/archive-original/1260-1269/28m.jpg,1260-1269,6,90-cw,1,2024,1436,ARA Brussel,Kerkelijk fonds,5885,126x,03,xx,,0,0
28,28o.jpg,recto,1,recto,,images/pages-recto/28o.png,images/archive-original/1260-1269/28o.jpg,1260-1269,6,90-cw,1,2024,1436,ARA Brussel,Kerkelijk fonds,5885,126x,03,xx,,0,0
29,29m.jpg,verso,0,verso,,images/pages-verso/29m.png,images/archive-original/1260-1269/29m.jpg,1260-1269,3,180,1,1656,1165,RA Gent,Sint-Baafs,,12xx,xx,xx,,0,0
29,29o.jpg,recto,1,recto,,images/pages-recto/29o.png,images/archive-original/1260-1269/29o.jpg,1260-1269,6,90-cw,1,1165,1656,RA Gent,Sint-Baafs,,12xx,xx,xx,,0,0
2,2m.jpg,verso,0,verso,,images/pages-verso/2m.png,images/archive-original/1260-1269/2m.jpg,1260-1269,,missing,0,1656,2339,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,0
2,2o.jpg,recto,1,recto,,images/pages-recto/2o.png,images/archive-original/1260-1269/2o.jpg,1260-1269,1,native,0,2339,1656,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,0
3,3m.jpg,verso,0,verso,,images/pages-verso/3m.png,images/archive-original/1260-1269/3m.jpg,1260-1269,,missing,0,1656,2339,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,0
3,3o.jpg,recto,1,recto,,images/pages-recto/3o.png,images/archive-original/1260-1269/3o.jpg,1260-1269,1,native,0,2339,1656,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,1
4,4m.jpg,verso,0,verso,,images/pages-verso/4m.png,images/archive-original/1260-1269/4m.jpg,1260-1269,3,180,1,1656,2339,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,0
4,4o.jpg,recto,0,neardup_of=2o,,images/pages-recto/4o.png,images/archive-original/1260-1269/4o.jpg,1260-1269,1,native,0,2339,1656,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,,0,1
5,5m.jpg,verso,0,verso,,images/pages-verso/5m.png,images/archive-original/1260-1269/5m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1269,01,12,,0,0
5,5o.jpg,recto,1,recto,,images/pages-recto/5o.png,images/archive-original/1260-1269/5o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1269,01,12,,0,0
6,6m.jpg,verso,0,verso,,images/pages-verso/6m.png,images/archive-original/1260-1269/6m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1269,04,26,,0,0
6,6o.jpg,recto,1,recto,,images/pages-recto/6o.png,images/archive-original/1260-1269/6o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1269,04,26,,0,0
7,7m.jpg,verso,0,verso,,images/pages-verso/7m.png,images/archive-original/1260-1269/7m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1269,07,09,,0,0
7,7o.jpg,recto,1,recto,,images/pages-recto/7o.png,images/archive-original/1260-1269/7o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1269,07,09,,0,0
8,8m.jpg,verso,0,verso,,images/pages-verso/8m.png,images/archive-original/1260-1269/8m.jpg,1260-1269,6,90-cw,1,2024,1436,RA Brugge,Vrije,33,1269,07,13,,0,0
8,8o.jpg,recto,1,recto,,images/pages-recto/8o.png,images/archive-original/1260-1269/8o.jpg,1260-1269,6,90-cw,1,2024,1436,RA Brugge,Vrije,33,1269,07,13,,0,0
