filename,inverted,p2,p98,span,mean,n_interior,applied
296o.png,0,31.0,255.0,224.0,202.3484085631208,2459664,1
297o.png,0,40.0,255.0,215.0,196.86823043515957,507492,1
298o.png,0,106.0,253.0,147.0,173.92770553137453,1685205,1
299o.png,0,149.0,255.0,106.0,235.3025690203579,1708083,1
300o.png,0,41.0,255.0,214.0,217.93751502156036,636585,1
301o.png,0,88.0,255.0,167.0,245.35016052919278,1445220,1
302o.png,0,56.0,255.0,199.0,231.02547671841668,1688051,1
303o.png,0,61.0,255.0,194.0,223.31211944564583,1063580,1
304o.png,0,77.0,255.0,178.0,228.55312005068103,568260,1
305o.png,0,59.0,255.0,196.0,223.84833192051838,556808,1
306o.png,0,55.0,255.0,200.0,215.43792408464898,535860,1
307o.png,0,45.0,255.0,210.0,229.31856471617445,779581,1
308o.png,0,47.0,255.0,208.0,230.47020322443115,759948,1
309o.png,0,48.0,255.0,207.0,213.99134119595902,1714440,1
310o.png,0,71.0,255.0,184.0,184.58697687738916,803110,1
311o.png,0,73.0,255.0,182.0,179.24655271322368,1708300,1
312o.png,0,73.0,255.0,182.0,187.95889115400496,1550080,1
313o.png,0,29.0,255.0,226.0,203.9597607271267,1314984,1
314o.png,0,31.0,255.0,224.0,209.04278120738027,1387268,1
315o.png,0,58.0,255.0,197.0,218.02988679342704,2324070,1
316o.png,0,53.0,255.0,202.0,225.33249073497163,1266321,1
317o.png,0,88.0,255.0,167.0,230.99360417655436,1580250,1
318o.png,0,60.0,255.0,195.0,206.8070641807767,1997514,1
319o.png,0,51.0,255.0,204.0,222.66481010362108,2205150,1
320o.png,0,59.0,255.0,196.0,227.91861871148458,2231250,1
321o.png,0,52.0,255.0,203.0,221.2120142482035,2326188,1
322o.png,0,59.0,255.0,196.0,219.35854480697694,2033902,1
323o.png,0,41.0,255.0,214.0,217.55101612103363,2375406,1
324o.png,0,169.0,236.0,67.0,204.7317774251795,1424977,1
325o.png,0,79.0,255.0,176.0,236.1155096769292,1579530,1
326o.png,0,81.0,255.0,174.0,231.46919242373787,1783782,1
327o.png,0,87.0,255.0,168.0,238.79011572373147,1697059,1
328o.png,0,58.0,255.0,197.0,239.12138749635693,1708718,1
329o.png,0,92.0,255.0,163.0,233.35235926628715,1620525,1
330o.png,0,84.0,255.0,171.0,239.1990871907675,1578424,1
331o.png,0,41.0,255.0,214.0,217.97985915041897,967983,1
332o.png,0,80.0,219.0,139.0,153.5508237743441,1584111,1
333o.png,0,53.0,255.0,202.0,231.99054917996747,1137150,1
334o.png,0,135.0,254.0,119.0,218.36680815268141,1295770,1
335o.png,0,50.0,255.0,205.0,195.3515922854667,1395133,1
336o.png,0,44.0,255.0,211.0,219.22950821596245,1704000,1
338o.png,0,56.0,255.0,199.0,204.05901725074708,1472400,1
339o.png,0,60.0,255.0,195.0,196.6391126605404,3281495,1
341o.png,0,100.0,254.0,154.0,193.27829535664705,1036557,1
342o.png,0,63.0,255.0,192.0,230.2465855173972,1770400,1
343o.png,0,45.0,255.0,210.0,208.77264594667452,1921558,1
344o.png,0,52.0,255.0,203.0,233.42245237388096,2356900,1
345o.png,0,2.0,236.0,234.0,184.2193879363487,957090,1
346o.png,0,4.0,234.0,230.0,178.66440595690088,3460860,1
350o.png,0,6.0,240.0,234.0,181.5511318158767,3600674,1
355o.png,0,78.0,252.0,174.0,185.28699047717456,2690483,1
356o.png,0,50.0,254.0,204.0,215.52343490492493,2360240,1
357o.png,0,53.0,255.0,202.0,214.1202204948644,2401870,1
358o.png,0,43.0,255.0,212.0,217.74815065625535,1585968,1
359o.png,0,80.0,255.0,175.0,228.74332148878875,2240694,1
360o.png,0,65.0,254.0,189.0,230.28887296641085,2255372,1
361o.png,0,71.0,254.0,183.0,214.07308378473064,1855350,1
362o.png,0,67.0,254.0,187.0,233.15848905920626,1938342,1
363o.png,0,77.0,254.0,177.0,213.19778624499904,1049800,1
364o.png,0,59.0,254.0,195.0,228.50378773274613,2515885,1
365o.png,0,62.0,253.0,191.0,220.80776965930406,1786050,1
366o.png,0,67.0,254.0,187.0,230.65119153228255,2468670,1
367o.png,0,71.0,254.0,183.0,232.21869804674512,2399994,1
368o.png,0,76.0,253.0,177.0,213.02668624675098,2386098,1
369o.png,0,72.0,253.0,181.0,207.4052291598604,1236604,1
370o.png,0,69.0,254.0,185.0,224.6314269377465,1846836,1
371o.png,0,59.0,254.0,195.0,228.34105679850805,1915332,1
